frame,reg,value
1061,16,192
1061,14,161
1061,9,192
1061,7,161
1061,2,192
1061,0,161
1062,16,208
1062,9,208
1062,2,208
1063,16,224
1063,9,224
1063,2,224
1064,16,240
1064,9,240
1064,2,240
1065,17,9
1065,16,0
1065,10,9
1065,9,0
1065,3,9
1065,2,0
1066,16,16
1066,9,16
1066,2,16
1067,16,32
1067,9,32
1067,2,32
1068,16,48
1068,14,22
1068,9,48
1068,7,22
1068,2,48
1068,0,22
1069,16,64
1069,9,64
1069,2,64
1070,16,80
1070,9,80
1070,2,80
1071,16,96
1071,9,96
1071,2,96
1072,16,112
1072,9,112
1072,2,112
1073,16,128
1073,9,128
1073,2,128
1074,16,144
1074,9,144
1074,2,144
1075,16,160
1075,14,75
1075,9,160
1075,7,75
1075,2,160
1075,0,75
1076,16,176
1076,9,176
1076,2,176
1077,16,192
1077,9,192
1077,2,192
1078,16,208
1078,9,208
1078,2,208
1079,16,224
1079,9,224
1079,2,224
1080,16,240
1080,9,240
1080,2,240
1081,17,10
1081,16,0
1081,10,10
1081,9,0
1081,3,10
1081,2,0
1082,16,16
1082,14,161
1082,9,16
1082,7,161
1082,2,16
1082,0,161
1083,16,32
1083,9,32
1083,2,32
1084,16,48
1084,9,48
1084,2,48
1085,16,64
1085,9,64
1085,2,64
1086,16,80
1086,9,80
1086,2,80
1087,16,96
1087,9,96
1087,2,96
1088,16,112
1088,9,112
1088,2,112
1089,16,128
1089,14,22
1089,9,128
1089,7,22
1089,2,128
1089,0,22
1090,16,144
1090,9,144
1090,2,144
1091,16,160
1091,9,160
1091,2,160
1094,16,144
1094,9,144
1094,2,144
1095,16,128
1095,9,128
1095,2,128
1096,16,112
1096,14,75
1096,9,112
1096,7,75
1096,2,112
1096,0,75
1097,16,96
1097,9,96
1097,2,96
1098,16,80
1098,9,80
1098,2,80
1099,16,64
1099,9,64
1099,2,64
1100,16,48
1100,9,48
1100,2,48
1101,16,32
1101,9,32
1101,2,32
1102,16,16
1102,9,16
1102,2,16
1103,16,0
1103,14,161
1103,9,0
1103,7,161
1103,2,0
1103,0,161
1104,17,9
1104,16,240
1104,10,9
1104,9,240
1104,3,9
1104,2,240
1105,16,224
1105,9,224
1105,2,224
1106,16,208
1106,9,208
1106,2,208
1107,16,192
1107,9,192
1107,2,192
1108,16,176
1108,9,176
1108,2,176
1109,16,160
1109,9,160
1109,2,160
1110,16,144
1110,14,22
1110,9,144
1110,7,22
1110,2,144
1110,0,22
1111,16,128
1111,9,128
1111,2,128
1112,16,112
1112,9,112
1112,2,112
1113,16,96
1113,9,96
1113,2,96
1114,16,80
1114,9,80
1114,2,80
1115,16,64
1115,9,64
1115,2,64
1116,16,48
1116,9,48
1116,2,48
1117,16,32
1117,14,75
1117,9,32
1117,7,75
1117,2,32
1117,0,75
1118,16,16
1118,9,16
1118,2,16
1119,16,0
1119,9,0
1119,2,0
1120,17,8
1120,16,240
1120,10,8
1120,9,240
1120,3,8
1120,2,240
1121,16,224
1121,9,224
1121,2,224
